ffi,ffi_name,ffi_desp,sic_s,sic_e,sic_desp
1,Agric,Agriculture,0100,0199,Agricultural production - crops
1,Agric,Agriculture,0200,0299,Agricultural production - livestock
1,Agric,Agriculture,0700,0799,Agricultural services
1,Agric,Agriculture,0910,0919,Commercial fishing
1,Agric,Agriculture,2048,2048,Prepared feeds for animals
2,Food,Food Products,2000,2009,Food and kindred products
2,Food,Food Products,2010,2019,Meat products
2,Food,Food Products,2020,2029,Dairy products
2,Food,Food Products,2030,2039,Canned & preserved fruits & vegetables
2,Food,Food Products,2040,2046,Flour and other grain mill products
2,Food,Food Products,2050,2059,Bakery products
2,Food,Food Products,2060,2063,Sugar and confectionery products
2,Food,Food Products,2070,2079,Fats and oils
2,Food,Food Products,2090,2092,Misc food preparations and kindred products
2,Food,Food Products,2095,2095,Roasted coffee
2,Food,Food Products,2098,2099,Misc food preparations
3,Soda,Candy & Soda,2064,2068,Candy and other confectionery
3,Soda,Candy & Soda,2086,2086,Bottled-canned soft drinks
3,Soda,Candy & Soda,2087,2087,Flavoring syrup
3,Soda,Candy & Soda,2096,2096,Potato chips
3,Soda,Candy & Soda,2097,2097,Manufactured ice
4,Beer,Beer & Liquor,2080,2080,Beverages
4,Beer,Beer & Liquor,2082,2082,Malt beverages
4,Beer,Beer & Liquor,2083,2083,Malt
4,Beer,Beer & Liquor,2084,2084,Wine
4,Beer,Beer & Liquor,2085,2085,Distilled and blended liquors
5,Smoke,Tobacco Products,2100,2199,Tobacco products
6,Toys,Recreation,0920,0999,"Fishing, hunting & trapping"
6,Toys,Recreation,3650,3651,Household audio visual equipment
6,Toys,Recreation,3652,3652,Phonograph records
6,Toys,Recreation,3732,3732,Boat building and repairing
6,Toys,Recreation,3930,3931,Musical instruments
6,Toys,Recreation,3940,3949,Toys
7,Fun,Entertainment,7800,7829,Services - motion picture production and distribution
7,Fun,Entertainment,7830,7833,Services - motion picture theaters
7,Fun,Entertainment,7840,7841,Services - video rental
