ffi,ffi_name,ffi_desp,sic_s,sic_e,sic_desp
1,Food,Food,0100,0199,Agricultural production - crops
1,Food,Food,0200,0299,Agricultural production - livestock
1,Food,Food,0700,0799,Agricultural services
1,Food,Food,0900,0999,"Fishing, hunting & trapping"
1,Food,Food,2000,2009,Food and kindred products
1,Food,Food,2010,2019,Meat products
1,Food,Food,2020,2029,Dairy products
1,Food,Food,2030,2039,Canned & preserved fruits & vegetables
1,Food,Food,2040,2046,Flour and other grain mill products
1,Food,Food,2047,2047,Dog and cat food
1,Food,Food,2048,2048,Prepared feeds for animals
1,Food,Food,2050,2059,Bakery products
1,Food,Food,2060,2063,Sugar and confectionery products
1,Food,Food,2064,2068,Candy and other confectionery
1,Food,Food,2070,2079,Fats and oils
1,Food,Food,2080,2080,Beverages
1,Food,Food,2082,2082,Malt beverages
1,Food,Food,2083,2083,Malt
1,Food,Food,2084,2084,Wine
1,Food,Food,2085,2085,Distilled and blended liquors
1,Food,Food,2086,2086,Bottled-canned soft drinks
1,Food,Food,2087,2087,Flavoring syrup
1,Food,Food,2090,2092,Misc food preparations and kindred products
1,Food,Food,2095,2095,Roasted coffee
1,Food,Food,2096,2096,Potato chips
1,Food,Food,2097,2097,Manufactured ice
1,Food,Food,2098,2099,Misc food preparations
1,Food,Food,5140,5149,Wholesale - groceries & related products
1,Food,Food,5150,5159,Wholesale - farm product raw materials
1,Food,Food,5180,5182,"Wholesale - beer, wine & distilled alcoholic beverages"
1,Food,Food,5191,5191,Wholesale - farm supplies
2,Mines,Mining and Minerals,1000,1009,Metal mining
2,Mines,Mining and Minerals,1010,1019,Iron ores
2,Mines,Mining and Minerals,1020,1029,Copper ores
2,Mines,Mining and Minerals,1030,1039,Lead and zinc ores
2,Mines,Mining and Minerals,1040,1049,Gold & silver ores
2,Mines,Mining and Minerals,1060,1069,Ferroalloy ores
2,Mines,Mining and Minerals,1080,1089,Metal mining services
2,Mines,Mining and Minerals,1090,1099,Misc metal ores
2,Mines,Mining and Minerals,1200,1299,Bituminous coal
2,Mines,Mining and Minerals,1400,1499,Mining and quarrying nonmetallic minerals
2,Mines,Mining and Minerals,5050,5052,"Wholesale - metals and minerals, except petroleum"
3,Oil,Oil and Petroleum Products,1300,1300,Oil and gas extraction
3,Oil,Oil and Petroleum Products,1310,1319,Crude petroleum & natural gas
3,Oil,Oil and Petroleum Products,1320,1329,Natural gas liquids
3,Oil,Oil and Petroleum Products,1380,1380,Oil and gas field services
3,Oil,Oil and Petroleum Products,1381,1381,Drilling oil & gas wells
3,Oil,Oil and Petroleum Products,1382,1382,Oil & gas field exploration services
3,Oil,Oil and Petroleum Products,1389,1389,Misc oil & gas field services
3,Oil,Oil and Petroleum Products,2900,2912,Petroleum refining
3,Oil,Oil and Petroleum Products,5170,5172,Wholesale - petroleum and petroleum products
4,Clths,"Textiles, Apparel & Footwear",2200,2269,Textile mill products
4,Clths,"Textiles, Apparel & Footwear",2270,2279,Floor covering mills
4,Clths,"Textiles, Apparel & Footwear",2280,2284,Yarn and thread mills
