ffi,ffi_name,ffi_desp,sic_s,sic_e,sic_desp
4,Clths,"Textiles, Apparel & Footwear",2290,2295,Misc textile goods
4,Clths,"Textiles, Apparel & Footwear",2296,2296,Tire cord and fabric
4,Clths,"Textiles, Apparel & Footwear",2297,2297,Non-woven fabrics
4,Clths,"Textiles, Apparel & Footwear",2298,2298,Cordage and twine
4,Clths,"Textiles, Apparel & Footwear",2299,2299,Misc textile products
4,Clths,"Textiles, Apparel & Footwear",2300,2390,Apparel and other finished products
4,Clths,"Textiles, Apparel & Footwear",2391,2392,"Curtains, home furnishings"
4,Clths,"Textiles, Apparel & Footwear",2393,2395,"Textile bags, canvas products"
4,Clths,"Textiles, Apparel & Footwear",2396,2396,"Automotive trimmings, apparel findings & related products"
4,Clths,"Textiles, Apparel & Footwear",2397,2399,Misc textile products
4,Clths,"Textiles, Apparel & Footwear",3020,3021,Rubber and plastics footwear
4,Clths,"Textiles, Apparel & Footwear",3100,3111,Leather tanning and finishing
4,Clths,"Textiles, Apparel & Footwear",3130,3131,Boot & shoe cut stock & findings
4,Clths,"Textiles, Apparel & Footwear",3140,3149,"Footwear, except rubber"
4,Clths,"Textiles, Apparel & Footwear",3150,3151,Leather gloves and mittens
4,Clths,"Textiles, Apparel & Footwear",3963,3965,"Fasteners, buttons, needles, pins"
4,Clths,"Textiles, Apparel & Footwear",5130,5139,"Wholesale - apparel, piece goods & notions"
5,Durbl,Consumer Durables,2510,2519,Household furniture
5,Durbl,Consumer Durables,2590,2599,Misc furniture and fixtures
5,Durbl,Consumer Durables,3060,3069,Fabricated rubber products
5,Durbl,Consumer Durables,3070,3079,Misc rubber products (?)
5,Durbl,Consumer Durables,3080,3089,Misc plastic products
5,Durbl,Consumer Durables,3090,3099,Misc rubber and plastic products (?)
5,Durbl,Consumer Durables,3630,3639,Household appliances
5,Durbl,Consumer Durables,3650,3651,Household audio visual equipment
5,Durbl,Consumer Durables,3652,3652,Phonograph records
5,Durbl,Consumer Durables,3860,3861,"Photographic equipment (Kodak etc, but also Xerox)"
5,Durbl,Consumer Durables,3870,3873,"Watches, clocks and parts"
5,Durbl,Consumer Durables,3910,3911,"Jewelry, precious metals"
5,Durbl,Consumer Durables,3914,3914,Silverware
5,Durbl,Consumer Durables,3915,3915,Jewelers' findings and materials
5,Durbl,Consumer Durables,3930,3931,Musical instruments
5,Durbl,Consumer Durables,3940,3949,Toys
5,Durbl,Consumer Durables,3960,3962,Costume jewelry and novelties
5,Durbl,Consumer Durables,5020,5023,Wholesale - furniture and home furnishings
5,Durbl,Consumer Durables,5064,5064,"Wholesale - electrical appliance, TV and radio sets"
5,Durbl,Consumer Durables,5094,5094,"Wholesale - jewelry, watches, precious stones & metals"
5,Durbl,Consumer Durables,5099,5099,Wholesale - durable goods
6,Chems,Chemicals,2800,2809,Chemicals and allied products
6,Chems,Chemicals,2810,2819,Industrial inorganic chemicals
6,Chems,Chemicals,2820,2829,Plastic material & synthetic resin/rubber
6,Chems,Chemicals,2860,2869,Industrial organic chemicals
6,Chems,Chemicals,2870,2879,Agriculture chemicals
6,Chems,Chemicals,2890,2899,Misc chemical products
6,Chems,Chemicals,5160,5169,Wholesale - chemicals & allied products
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",2100,2199,Tobacco products
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",2830,2830,Drugs
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",2831,2831,Biological products
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",2833,2833,Medicinal chemicals
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",2834,2834,Pharmaceutical preparations
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",2840,2843,Soap & other detergents
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",2844,2844,"Perfumes, cosmetics and other toilet preparations"
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",5120,5122,Wholesale - drugs & drug proprietaries
7,Cnsum,"Drugs, Soap, Perfumes, Tobacco",5194,5194,Wholesale - tobacco and tobacco products
8,Cnstr,Construction and Construction Materials,0800,0899,Forestry
8,Cnstr,Construction and Construction Materials,1500,1511,Build construction - general contractors
8,Cnstr,Construction and Construction Materials,1520,1529,General building contractors - residential
8,Cnstr,Construction and Construction Materials,1530,1539,Operative builders
8,Cnstr,Construction and Construction Materials,1540,1549,General building contractors - non-residential
8,Cnstr,Construction and Construction Materials,1600,1699,Heavy construction - not building contractors
8,Cnstr,Construction and Construction Materials,1700,1799,Construction - special contractors
8,Cnstr,Construction and Construction Materials,2400,2439,Lumber and wood products
8,Cnstr,Construction and Construction Materials,2440,2449,Wood containers
8,Cnstr,Construction and Construction Materials,2450,2459,Wood buildings & mobile homes
8,Cnstr,Construction and Construction Materials,2490,2499,Misc wood products
8,Cnstr,Construction and Construction Materials,2850,2859,Paints
8,Cnstr,Construction and Construction Materials,2950,2952,Paving & roofing materials
8,Cnstr,Construction and Construction Materials,3200,3200,"Stone, clay, glass, concrete, etc"
8,Cnstr,Construction and Construction Materials,3210,3211,Flat glass
8,Cnstr,Construction and Construction Materials,3240,3241,"Cement, hydraulic"
8,Cnstr,Construction and Construction Materials,3250,3259,Structural clay products
8,Cnstr,Construction and Construction Materials,3261,3261,Vitreous china plumbing fixtures
8,Cnstr,Construction and Construction Materials,3264,3264,Porcelain electrical supplies
8,Cnstr,Construction and Construction Materials,3270,3275,"Concrete, gypsum & plaster products"
8,Cnstr,Construction and Construction Materials,3280,3281,Cut stone and stone products
8,Cnstr,Construction and Construction Materials,3290,3293,Abrasive and asbestos products
8,Cnstr,Construction and Construction Materials,3420,3429,"Cutlery, hand tools and general hardware"
8,Cnstr,Construction and Construction Materials,3430,3433,Heating equipment & plumbing fixtures
8,Cnstr,Construction and Construction Materials,3440,3441,Fabricated structural metal products
8,Cnstr,Construction and Construction Materials,3442,3442,"Metal doors, frames"
8,Cnstr,Construction and Construction Materials,3446,3446,Architectural or ornamental metal work
8,Cnstr,Construction and Construction Materials,3448,3448,Prefabricated metal buildings and components
8,Cnstr,Construction and Construction Materials,3449,3449,Misc structural metal work
8,Cnstr,Construction and Construction Materials,3450,3451,Screw machine products
8,Cnstr,Construction and Construction Materials,3452,3452,"Bolts, nuts, screws, rivets and washers"
8,Cnstr,Construction and Construction Materials,5030,5039,Wholesale - lumber and construction materials
8,Cnstr,Construction and Construction Materials,5070,5078,"Wholesale - hardware, plumbing & heating equipment"
8,Cnstr,Construction and Construction Materials,5198,5198,"Wholesale - Paints, varnishes, and supplies"
8,Cnstr,Construction and Construction Materials,5210,5211,Retail - lumber & other building materials
8,Cnstr,Construction and Construction Materials,5230,5231,"Retail - paint, glass & wallpaper stores"
8,Cnstr,Construction and Construction Materials,5250,5251,Retail - hardware stores
9,Steel,Steel Works Etc,3300,3300,Primary metal industries
9,Steel,Steel Works Etc,3310,3317,Blast furnaces & steel works
9,Steel,Steel Works Etc,3320,3325,Iron & steel foundries
9,Steel,Steel Works Etc,3330,3339,Primary smelting & refining of nonferrous metals
9,Steel,Steel Works Etc,3340,3341,Secondary smelting & refining of nonferrous metals
9,Steel,Steel Works Etc,3350,3357,"Rolling, drawing & extruding of nonferrous metals"
9,Steel,Steel Works Etc,3360,3369,Nonferrous foundries and casting
9,Steel,Steel Works Etc,3390,3399,Misc primary metal products
10,FabPr,Fabricated Products,3410,3412,Metal cans and shipping containers
10,FabPr,Fabricated Products,3443,3443,Fabricated plate work
10,FabPr,Fabricated Products,3444,3444,Sheet metal work
10,FabPr,Fabricated Products,3460,3469,Metal forgings and stampings
10,FabPr,Fabricated Products,3470,3479,"Coating, engraving and allied services"
10,FabPr,Fabricated Products,3480,3489,Ordnance & accessories
10,FabPr,Fabricated Products,3490,3499,Misc fabricated metal products
11,Machn,Machinery and Business Equipment,3510,3519,Engines & turbines
11,Machn,Machinery and Business Equipment,3520,3529,Farm and garden machinery and equipment
11,Machn,Machinery and Business Equipment,3530,3530,"Construction, mining & material handling machinery & equipment"
11,Machn,Machinery and Business Equipment,3531,3531,Construction machinery & equipment
11,Machn,Machinery and Business Equipment,3532,3532,"Mining machinery & equipment, except oil field"
11,Machn,Machinery and Business Equipment,3533,3533,Oil & gas field machinery & equipment
11,Machn,Machinery and Business Equipment,3534,3534,Elevators & moving stairways
11,Machn,Machinery and Business Equipment,3535,3535,Conveyors & conveying equipment
11,Machn,Machinery and Business Equipment,3536,3536,"Cranes, hoists and monorail systems"
11,Machn,Machinery and Business Equipment,3540,3549,Metalworking machinery & equipment
11,Machn,Machinery and Business Equipment,3550,3559,Special industry machinery
11,Machn,Machinery and Business Equipment,3560,3569,General industrial machinery & equipment
11,Machn,Machinery and Business Equipment,3570,3579,Computer & office equipment
11,Machn,Machinery and Business Equipment,3580,3580,Refrigeration & service industry machinery
11,Machn,Machinery and Business Equipment,3581,3581,Automatic vending machines
11,Machn,Machinery and Business Equipment,3582,3582,Commercial laundry and dry-cleaning machines
11,Machn,Machinery and Business Equipment,3585,3585,"Air conditioning, warm air heating and refrigeration equipment"
11,Machn,Machinery and Business Equipment,3586,3586,Measuring and dispensing pumps
11,Machn,Machinery and Business Equipment,3589,3589,Service industry machinery
11,Machn,Machinery and Business Equipment,3590,3599,Misc industrial and commercial equipment and machinery
11,Machn,Machinery and Business Equipment,3600,3600,Electronic & other electrical equipment
11,Machn,Machinery and Business Equipment,3610,3613,Electric transmission and distribution equipment
11,Machn,Machinery and Business Equipment,3620,3621,Electrical industrial apparatus
11,Machn,Machinery and Business Equipment,3622,3622,Industrial controls
11,Machn,Machinery and Business Equipment,3623,3629,Electrical industrial apparatus
11,Machn,Machinery and Business Equipment,3670,3679,Electronic components & accessories
11,Machn,Machinery and Business Equipment,3680,3680,Computers
11,Machn,Machinery and Business Equipment,3681,3681,Computers - mini
11,Machn,Machinery and Business Equipment,3682,3682,Computers - mainframe
11,Machn,Machinery and Business Equipment,3683,3683,Computers - terminals
11,Machn,Machinery and Business Equipment,3684,3684,Computers - disk & tape drives
11,Machn,Machinery and Business Equipment,3685,3685,Computers - optical scanners
11,Machn,Machinery and Business Equipment,3686,3686,Computers - graphics
11,Machn,Machinery and Business Equipment,3687,3687,Computers - office automation systems
11,Machn,Machinery and Business Equipment,3688,3688,Computers - peripherals
11,Machn,Machinery and Business Equipment,3689,3689,Computers - equipment
11,Machn,Machinery and Business Equipment,3690,3690,Misc electrical machinery and equipment
11,Machn,Machinery and Business Equipment,3691,3692,Storage batteries
11,Machn,Machinery and Business Equipment,3693,3693,"X-ray, electromedical app"
11,Machn,Machinery and Business Equipment,3694,3694,Electrical equipment for internal combustion engines
11,Machn,Machinery and Business Equipment,3695,3695,Magnetic and optical recording media
11,Machn,Machinery and Business Equipment,3699,3699,"Misc electrical machinery, equipment and supplies"
11,Machn,Machinery and Business Equipment,3810,3810,"Search, detection, navigation, guidance"
11,Machn,Machinery and Business Equipment,3811,3811,Engr lab and research equipment
11,Machn,Machinery and Business Equipment,3812,3812,"Search, detection, navigation, guidance"
11,Machn,Machinery and Business Equipment,3820,3820,Measuring and controlling equipment
11,Machn,Machinery and Business Equipment,3821,3821,Laboratory apparatus and furniture
11,Machn,Machinery and Business Equipment,3822,3822,Automatic controls for regulating residential & commercial environments & appliances
11,Machn,Machinery and Business Equipment,3823,3823,Industrial measurement instruments & related products
11,Machn,Machinery and Business Equipment,3824,3824,Totalizing fluid meters & counting devices
11,Machn,Machinery and Business Equipment,3825,3825,Instruments for measuring & testing of electricity & electrical instruments
11,Machn,Machinery and Business Equipment,3826,3826,Lab analytical instruments
11,Machn,Machinery and Business Equipment,3827,3827,Optical instruments and lenses
11,Machn,Machinery and Business Equipment,3829,3829,Misc measuring and controlling devices
11,Machn,Machinery and Business Equipment,3830,3839,Optical instruments and lenses
11,Machn,Machinery and Business Equipment,3950,3955,"Pens, pencils & other artists’ supplies"
11,Machn,Machinery and Business Equipment,5060,5060,Wholesale - electrical goods
11,Machn,Machinery and Business Equipment,5063,5063,Wholesale - electrical apparatus and equipment
11,Machn,Machinery and Business Equipment,5065,5065,Wholesale - electronic parts & equipment
11,Machn,Machinery and Business Equipment,5080,5080,"Wholesale - machinery, equipment & supplies"
11,Machn,Machinery and Business Equipment,5081,5081,Wholesale - machinery & equipment (?)
12,Cars,Automobiles,3710,3710,Motor vehicles and motor vehicle equipment
12,Cars,Automobiles,3711,3711,Motor vehicles & passenger car bodies
12,Cars,Automobiles,3714,3714,Motor vehicle parts & accessories
12,Cars,Automobiles,3716,3716,Motor homes
12,Cars,Automobiles,3750,3751,"Motorcycles, bicycles and parts (Harley & Huffy)"
12,Cars,Automobiles,3792,3792,Travel trailers and campers
12,Cars,Automobiles,5010,5015,Wholesale - automotive vehicles & automotive parts & supplies
12,Cars,Automobiles,5510,5521,Retail - automotive dealers
12,Cars,Automobiles,5530,5531,Retail - automotive and home supply stores
12,Cars,Automobiles,5560,5561,Retail - recreation vehicle dealers
12,Cars,Automobiles,5570,5571,Retail - motorcycle dealers
12,Cars,Automobiles,5590,5599,Retail - automotive dealers
13,Trans,Transportation,3713,3713,Truck & bus bodies
13,Trans,Transportation,3715,3715,Truck trailers
13,Trans,Transportation,3720,3720,Aircraft & parts
13,Trans,Transportation,3721,3721,Aircraft
13,Trans,Transportation,3724,3724,Aircraft engines & engine parts
13,Trans,Transportation,3725,3725,Aircraft parts
13,Trans,Transportation,3728,3728,Misc aircraft parts & auxiliary equipment
13,Trans,Transportation,3730,3731,Ship building and repairing
13,Trans,Transportation,3732,3732,Boat building and repairing
13,Trans,Transportation,3740,3743,Railroad Equipment
13,Trans,Transportation,3760,3769,Guided missiles and space vehicles
13,Trans,Transportation,3790,3790,Misc transmission equipment
13,Trans,Transportation,3795,3795,Tanks and tank components
13,Trans,Transportation,3799,3799,Misc transmission equipment
13,Trans,Transportation,4000,4013,"Railroads, line-haul operating"
13,Trans,Transportation,4100,4100,Local & suburban transit & interurban highway passenger transportation
13,Trans,Transportation,4110,4119,Local & suburban passenger transportation
13,Trans,Transportation,4120,4121,Taxicabs
13,Trans,Transportation,4130,4131,Intercity & rural bus transportation (Greyhound)
13,Trans,Transportation,4140,4142,Bus charter service
13,Trans,Transportation,4150,4151,School buses
13,Trans,Transportation,4170,4173,Motor vehicle terminals & service facilities
13,Trans,Transportation,4190,4199,Misc transit and passenger transportation
13,Trans,Transportation,4200,4200,Trucking & warehousing
13,Trans,Transportation,4210,4219,"Trucking & courier services, except air"
13,Trans,Transportation,4220,4229,Public warehousing and storage
13,Trans,Transportation,4230,4231,Terminal & joint terminal maintenance
13,Trans,Transportation,4400,4499,Water transport
13,Trans,Transportation,4500,4599,Air transportation
13,Trans,Transportation,4600,4699,"Pipelines, except natural gas"
13,Trans,Transportation,4700,4700,Transportation services
13,Trans,Transportation,4710,4712,Freight forwarding
13,Trans,Transportation,4720,4729,Arrangement of passenger transportation
13,Trans,Transportation,4730,4739,Arrangement of transportation of freight and cargo
13,Trans,Transportation,4740,4742,Rental of railroad cars
13,Trans,Transportation,4780,4780,Misc services incidental to transportation
13,Trans,Transportation,4783,4783,Packing and crating
13,Trans,Transportation,4785,4785,Motor vehicle inspection
13,Trans,Transportation,4789,4789,Misc transportation services
14,Utils,Utilities,4900,4900,"Electric, gas & sanitary services"
14,Utils,Utilities,4910,4911,Electric services
14,Utils,Utilities,4920,4922,Natural gas transmission
14,Utils,Utilities,4923,4923,Natural gas transmission & distribution
14,Utils,Utilities,4924,4925,Natural gas distribution
14,Utils,Utilities,4930,4931,Electric and other services combined
14,Utils,Utilities,4932,4932,Gas and other services combined
14,Utils,Utilities,4939,4939,Misc combination utilities
14,Utils,Utilities,4940,4942,Water supply
15,Rtail,Retail Stores,5260,5261,"Retail - nurseries, lawn & garden supply stores"
15,Rtail,Retail Stores,5270,5271,Retail - mobile home dealers
15,Rtail,Retail Stores,5300,5300,Retail - general merchandise stores
15,Rtail,Retail Stores,5310,5311,Retail - department stores
15,Rtail,Retail Stores,5320,5320,Retail - general merchandise stores (?)
15,Rtail,Retail Stores,5330,5331,Retail - variety stores
15,Rtail,Retail Stores,5334,5334,Retail - catalog showroom
15,Rtail,Retail Stores,5390,5399,Retail - Misc general merchandise stores
15,Rtail,Retail Stores,5400,5400,Retail - food stores
15,Rtail,Retail Stores,5410,5411,Retail - grocery stores
15,Rtail,Retail Stores,5412,5412,Retail - convenience stores
15,Rtail,Retail Stores,5420,5421,Retail - meat & fish markets
15,Rtail,Retail Stores,5430,5431,Retail - fruit and vegetable markets
15,Rtail,Retail Stores,5440,5441,"Retail - candy, nut & confectionary stores"
15,Rtail,Retail Stores,5450,5451,Retail - dairy products stores
15,Rtail,Retail Stores,5460,5461,Retail - bakeries
15,Rtail,Retail Stores,5490,5499,Retail - Misc food stores
15,Rtail,Retail Stores,5540,5541,Retail - gasoline service stations
15,Rtail,Retail Stores,5550,5551,Retail - boat dealers
15,Rtail,Retail Stores,5600,5699,Retail - apparel & accessory stores
15,Rtail,Retail Stores,5700,5700,Retail - home furniture and equipment stores
15,Rtail,Retail Stores,5710,5719,Retail - home furnishings stores
15,Rtail,Retail Stores,5720,5722,Retail - household appliance stores
15,Rtail,Retail Stores,5730,5733,"Retail - radio, TV and consumer electronic stores"
15,Rtail,Retail Stores,5734,5734,Retail - computer and computer software stores
15,Rtail,Retail Stores,5735,5735,Retail - record and tape stores
15,Rtail,Retail Stores,5736,5736,Retail - musical instrument stores
15,Rtail,Retail Stores,5750,5750,Retail - (?)
15,Rtail,Retail Stores,5800,5813,Retail - eating places
15,Rtail,Retail Stores,5890,5890,Eating and drinking places
15,Rtail,Retail Stores,5900,5900,Retail - Misc
15,Rtail,Retail Stores,5910,5912,Retail - drug & proprietary stores
15,Rtail,Retail Stores,5920,5921,Retail - liquor stores
15,Rtail,Retail Stores,5930,5932,Retail - used merchandise stores
15,Rtail,Retail Stores,5940,5940,Retail - Misc
15,Rtail,Retail Stores,5941,5941,Retail - sporting goods stores & bike shops
15,Rtail,Retail Stores,5942,5942,Retail - book stores
15,Rtail,Retail Stores,5943,5943,Retail - stationery stores
15,Rtail,Retail Stores,5944,5944,Retail - jewelry stores
15,Rtail,Retail Stores,5945,5945,"Retail - hobby, toy and game shops"
15,Rtail,Retail Stores,5946,5946,Retail - camera and photographic supply stores
15,Rtail,Retail Stores,5947,5947,"Retail - gift, novelty & souvenir shops"
15,Rtail,Retail Stores,5948,5948,Retail - luggage & leather goods stores
15,Rtail,Retail Stores,5949,5949,Retail - sewing & needlework stores
15,Rtail,Retail Stores,5960,5963,"Retail - non-store retailers (catalogs, etc)"
15,Rtail,Retail Stores,5980,5989,Retail - fuel dealers & ice stores (Penn Central Co)
15,Rtail,Retail Stores,5990,5990,Retail - Misc retail stores
15,Rtail,Retail Stores,5992,5992,Retail - florists
15,Rtail,Retail Stores,5993,5993,Retail - tobacco stores and stands
15,Rtail,Retail Stores,5994,5994,Retail - newsdealers and news stands
15,Rtail,Retail Stores,5995,5995,Retail - optical goods stores
15,Rtail,Retail Stores,5999,5999,Misc retail stores
16,Finan,"Banks, Insurance Companies, and Other Financials",6010,6019,Federal reserve banks
16,Finan,"Banks, Insurance Companies, and Other Financials",6020,6020,Commercial banks
16,Finan,"Banks, Insurance Companies, and Other Financials",6021,6021,National commercial banks
16,Finan,"Banks, Insurance Companies, and Other Financials",6022,6022,State commercial banks - Fed Res System
16,Finan,"Banks, Insurance Companies, and Other Financials",6023,6023,State commercial banks - not Fed Res System
16,Finan,"Banks, Insurance Companies, and Other Financials",6025,6025,National commercial banks - Fed Res System
16,Finan,"Banks, Insurance Companies, and Other Financials",6026,6026,National commercial banks - not Fed Res System
16,Finan,"Banks, Insurance Companies, and Other Financials",6028,6029,Misc commercial banks
16,Finan,"Banks, Insurance Companies, and Other Financials",6030,6036,Savings institutions
16,Finan,"Banks, Insurance Companies, and Other Financials",6040,6049,"Trust companies, non-deposit"
16,Finan,"Banks, Insurance Companies, and Other Financials",6050,6059,Functions closely related to banking
16,Finan,"Banks, Insurance Companies, and Other Financials",6060,6062,Credit unions
16,Finan,"Banks, Insurance Companies, and Other Financials",6080,6082,Foreign banks
16,Finan,"Banks, Insurance Companies, and Other Financials",6090,6099,Functions related to depository banking
16,Finan,"Banks, Insurance Companies, and Other Financials",6100,6100,Non-depository credit institutions
16,Finan,"Banks, Insurance Companies, and Other Financials",6110,6111,Federal credit agencies
16,Finan,"Banks, Insurance Companies, and Other Financials",6112,6112,FNMA
16,Finan,"Banks, Insurance Companies, and Other Financials",6120,6129,S&Ls
16,Finan,"Banks, Insurance Companies, and Other Financials",6140,6149,Personal credit institutions (Beneficial)
16,Finan,"Banks, Insurance Companies, and Other Financials",6150,6159,Business credit institutions
16,Finan,"Banks, Insurance Companies, and Other Financials",6160,6163,Mortgage bankers
16,Finan,"Banks, Insurance Companies, and Other Financials",6172,6172,Finance lessors
16,Finan,"Banks, Insurance Companies, and Other Financials",6199,6199,Financial services
16,Finan,"Banks, Insurance Companies, and Other Financials",6200,6299,"Security and commodity brokers, dealers, exchanges & services"
16,Finan,"Banks, Insurance Companies, and Other Financials",6300,6300,Insurance
16,Finan,"Banks, Insurance Companies, and Other Financials",6310,6312,Life insurance
16,Finan,"Banks, Insurance Companies, and Other Financials",6320,6324,Accident and health insurance
16,Finan,"Banks, Insurance Companies, and Other Financials",6330,6331,"Fire, marine & casualty insurance"
16,Finan,"Banks, Insurance Companies, and Other Financials",6350,6351,Surety insurance
16,Finan,"Banks, Insurance Companies, and Other Financials",6360,6361,Title insurance
16,Finan,"Banks, Insurance Companies, and Other Financials",6370,6371,"Pension, health & welfare funds"
16,Finan,"Banks, Insurance Companies, and Other Financials",6390,6399,Misc insurance carriers
16,Finan,"Banks, Insurance Companies, and Other Financials",6400,6411,"Insurance agents, brokers & service"
16,Finan,"Banks, Insurance Companies, and Other Financials",6500,6500,Real estate
16,Finan,"Banks, Insurance Companies, and Other Financials",6510,6510,Real estate operators and lessors
16,Finan,"Banks, Insurance Companies, and Other Financials",6512,6512,Operators - non-resident buildings
16,Finan,"Banks, Insurance Companies, and Other Financials",6513,6513,Operators - apartment buildings
16,Finan,"Banks, Insurance Companies, and Other Financials",6514,6514,Operators - other than apartment
16,Finan,"Banks, Insurance Companies, and Other Financials",6515,6515,Operators - residential mobile home
16,Finan,"Banks, Insurance Companies, and Other Financials",6517,6519,Lessors of railroad & real property
16,Finan,"Banks, Insurance Companies, and Other Financials",6530,6531,Real estate agents and managers
16,Finan,"Banks, Insurance Companies, and Other Financials",6532,6532,Real estate dealers
16,Finan,"Banks, Insurance Companies, and Other Financials",6540,6541,Title abstract offices
16,Finan,"Banks, Insurance Companies, and Other Financials",6550,6553,Land subdividers & developers
16,Finan,"Banks, Insurance Companies, and Other Financials",6611,6611,"Combined real estate, insurance, etc"
16,Finan,"Banks, Insurance Companies, and Other Financials",6700,6700,Holding & other investment offices
16,Finan,"Banks, Insurance Companies, and Other Financials",6710,6719,Holding offices
16,Finan,"Banks, Insurance Companies, and Other Financials",6720,6722,"Management investment offices, open-end"
16,Finan,"Banks, Insurance Companies, and Other Financials",6723,6723,"Management investment offices, closed-end"
16,Finan,"Banks, Insurance Companies, and Other Financials",6724,6724,Unit investment trusts
16,Finan,"Banks, Insurance Companies, and Other Financials",6725,6725,Face-amount certificate offices
16,Finan,"Banks, Insurance Companies, and Other Financials",6726,6726,"Unit investment trusts, closed-end"
16,Finan,"Banks, Insurance Companies, and Other Financials",6730,6733,Trusts
16,Finan,"Banks, Insurance Companies, and Other Financials",6790,6790,Misc investing
16,Finan,"Banks, Insurance Companies, and Other Financials",6792,6792,Oil royalty traders
16,Finan,"Banks, Insurance Companies, and Other Financials",6794,6794,Patent owners & lessors
16,Finan,"Banks, Insurance Companies, and Other Financials",6795,6795,Mineral royalty traders
16,Finan,"Banks, Insurance Companies, and Other Financials",6798,6798,REIT
16,Finan,"Banks, Insurance Companies, and Other Financials",6799,6799,"Investors, NEC"
17,Other,Other,2520,2549,Office furniture and fixtures
17,Other,Other,2600,2639,Paper and allied products
17,Other,Other,2640,2659,"Paperboard containers, boxes, drums, tubs"
17,Other,Other,2661,2661,Building paper and board mills
17,Other,Other,2670,2699,Paper and allied products
17,Other,Other,2700,2709,Printing publishing and allied
17,Other,Other,2710,2719,Newspapers: publishing-printing
17,Other,Other,2720,2729,Periodicals: publishing-printing
17,Other,Other,2730,2739,Books: publishing-printing
17,Other,Other,2740,2749,Misc publishing
17,Other,Other,2750,2759,Commercial printing
17,Other,Other,2760,2761,Manifold business forms
17,Other,Other,2770,2771,Greeting card
17,Other,Other,2780,2789,Bookbinding
17,Other,Other,2790,2799,Service industries for the print trade
17,Other,Other,2835,2835,"In vitro, in vivo diagnostic substances"
