ffi,ffi_name,ffi_desp,sic_s,sic_e,sic_desp
1,Food,Food Products,0100,0199,Agricultural production - crops
1,Food,Food Products,0200,0299,Agricultural production - livestock
1,Food,Food Products,0700,0799,Agricultural services
1,Food,Food Products,0910,0919,Commercial fishing
1,Food,Food Products,2000,2009,Food and kindred products
1,Food,Food Products,2010,2019,Meat products
1,Food,Food Products,2020,2029,Dairy products
1,Food,Food Products,2030,2039,Canned & preserved fruits & vegetables
1,Food,Food Products,2040,2046,Flour and other grain mill products
1,Food,Food Products,2048,2048,Prepared feeds for animals
1,Food,Food Products,2050,2059,Bakery products
1,Food,Food Products,2060,2063,Sugar and confectionery products
1,Food,Food Products,2064,2068,Candy and other confectionery
1,Food,Food Products,2070,2079,Fats and oils
1,Food,Food Products,2086,2086,Bottled-canned soft drinks
1,Food,Food Products,2087,2087,Flavoring syrup
1,Food,Food Products,2090,2092,Misc food preparations and kindred products
1,Food,Food Products,2095,2095,Roasted coffee
1,Food,Food Products,2096,2096,Potato chips
1,Food,Food Products,2097,2097,Manufactured ice
1,Food,Food Products,2098,2099,Misc food preparations
2,Beer,Beer & Liquor,2080,2080,Beverages
2,Beer,Beer & Liquor,2082,2082,Malt beverages
2,Beer,Beer & Liquor,2083,2083,Malt
2,Beer,Beer & Liquor,2084,2084,Wine
2,Beer,Beer & Liquor,2085,2085,Distilled and blended liquors
3,Smoke,Tobacco Products,2100,2199,Tobacco products
4,Games,Recreation,0920,0999,"Fishing, hunting & trapping"
4,Games,Recreation,3650,3651,Household audio visual equipment
4,Games,Recreation,3652,3652,Phonograph records
4,Games,Recreation,3732,3732,Boat building and repairing
4,Games,Recreation,3930,3931,Musical instruments
4,Games,Recreation,3940,3949,Toys
4,Games,Recreation,7800,7829,Services - motion picture production and distribution
4,Games,Recreation,7830,7833,Services - motion picture theaters
4,Games,Recreation,7840,7841,Services - video rental
4,Games,Recreation,7900,7900,Services - amusement and recreation
4,Games,Recreation,7910,7911,Services - dance studios
4,Games,Recreation,7920,7929,"Services - bands, entertainers"
4,Games,Recreation,7930,7933,Services - bowling centers
4,Games,Recreation,7940,7949,Services - professional sports
4,Games,Recreation,7980,7980,Amusement and recreation services (?)
4,Games,Recreation,7990,7999,Services - Misc entertainment
5,Books,Printing and Publishing,2700,2709,Printing publishing and allied
5,Books,Printing and Publishing,2710,2719,Newspapers: publishing-printing
5,Books,Printing and Publishing,2720,2729,Periodicals: publishing-printing
5,Books,Printing and Publishing,2730,2739,Books: publishing-printing
5,Books,Printing and Publishing,2740,2749,Misc publishing
5,Books,Printing and Publishing,2750,2759,Commercial printing
5,Books,Printing and Publishing,2770,2771,Greeting card
5,Books,Printing and Publishing,2780,2789,Bookbinding
5,Books,Printing and Publishing,2790,2799,Service industries for the print trade
5,Books,Printing and Publishing,3993,3993,Signs & advertising specialties
6,Hshld,Consumer Goods,2047,2047,Dog and cat food
6,Hshld,Consumer Goods,2391,2392,"Curtains, home furnishings"
6,Hshld,Consumer Goods,2510,2519,Household furniture
6,Hshld,Consumer Goods,2590,2599,Misc furniture and fixtures
6,Hshld,Consumer Goods,2840,2843,Soap & other detergents
6,Hshld,Consumer Goods,2844,2844,"Perfumes, cosmetics and other toilet preparations"
6,Hshld,Consumer Goods,3160,3161,Luggage
6,Hshld,Consumer Goods,3170,3171,Handbags and purses
6,Hshld,Consumer Goods,3172,3172,"Personal leather goods, except handbags and purses"
6,Hshld,Consumer Goods,3190,3199,Leather goods
6,Hshld,Consumer Goods,3229,3229,Pressed and blown glass
6,Hshld,Consumer Goods,3260,3260,Pottery and related products
6,Hshld,Consumer Goods,3262,3263,China and earthenware table articles
6,Hshld,Consumer Goods,3269,3269,Pottery products
6,Hshld,Consumer Goods,3230,3231,Glass products
6,Hshld,Consumer Goods,3630,3639,Household appliances
6,Hshld,Consumer Goods,3750,3751,"Motorcycles, bicycles and parts (Harley & Huffy)"
6,Hshld,Consumer Goods,3800,3800,"Misc instruments, photo goods & watches"
6,Hshld,Consumer Goods,3860,3861,"Photographic equipment (Kodak etc, but also Xerox)"
6,Hshld,Consumer Goods,3870,3873,"Watches, clocks and parts"
6,Hshld,Consumer Goods,3910,3911,"Jewelry, precious metals"
6,Hshld,Consumer Goods,3914,3914,Silverware
6,Hshld,Consumer Goods,3915,3915,Jewelers' findings and materials
6,Hshld,Consumer Goods,3960,3962,Costume jewelry and novelties
6,Hshld,Consumer Goods,3991,3991,Brooms and brushes
6,Hshld,Consumer Goods,3995,3995,Burial caskets
7,Clths,Apparel,2300,2390,Apparel and other finished products
7,Clths,Apparel,3020,3021,Rubber and plastics footwear
7,Clths,Apparel,3100,3111,Leather tanning and finishing
7,Clths,Apparel,3130,3131,Boot & shoe cut stock & findings
7,Clths,Apparel,3140,3149,"Footwear, except rubber"
7,Clths,Apparel,3150,3151,Leather gloves and mittens
7,Clths,Apparel,3963,3965,"Fasteners, buttons, needles, pins"
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",2830,2830,Drugs
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",2831,2831,Biological products
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",2833,2833,Medicinal chemicals
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",2834,2834,Pharmaceutical preparations
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",2835,2835,"In vitro, in vivo diagnostic substances"
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",2836,2836,"Biological products, except diagnostic substances"
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",3693,3693,"X-ray, electromedical app"
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",3840,3849,"Surgical, medical, and dental instruments and supplies"
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",3850,3851,Ophthalmic goods
8,Hlth,"Healthcare, Medical Equipment, Pharmaceutical Products",8000,8099,Services - health
9,Chems,Chemicals,2800,2809,Chemicals and allied products
9,Chems,Chemicals,2810,2819,Industrial inorganic chemicals
9,Chems,Chemicals,2820,2829,Plastic material & synthetic resin/rubber
9,Chems,Chemicals,2850,2859,Paints
9,Chems,Chemicals,2860,2869,Industrial organic chemicals
9,Chems,Chemicals,2870,2879,Agriculture chemicals
9,Chems,Chemicals,2890,2899,Misc chemical products
10,Txtls,Textiles,2200,2269,Textile mill products
10,Txtls,Textiles,2270,2279,Floor covering mills
10,Txtls,Textiles,2280,2284,Yarn and thread mills
10,Txtls,Textiles,2290,2295,Misc textile goods
10,Txtls,Textiles,2297,2297,Non-woven fabrics
10,Txtls,Textiles,2298,2298,Cordage and twine
10,Txtls,Textiles,2299,2299,Misc textile products
10,Txtls,Textiles,2393,2395,"Textile bags, canvas products"
10,Txtls,Textiles,2397,2399,Misc textile products
11,Cnstr,Construction and Construction Materials,0800,0899,Forestry
11,Cnstr,Construction and Construction Materials,1500,1511,Build construction - general contractors
11,Cnstr,Construction and Construction Materials,1520,1529,General building contractors - residential
11,Cnstr,Construction and Construction Materials,1530,1539,Operative builders
11,Cnstr,Construction and Construction Materials,1540,1549,General building contractors - non-residential
11,Cnstr,Construction and Construction Materials,1600,1699,Heavy construction - not building contractors
11,Cnstr,Construction and Construction Materials,1700,1799,Construction - special contractors
11,Cnstr,Construction and Construction Materials,2400,2439,Lumber and wood products
11,Cnstr,Construction and Construction Materials,2450,2459,Wood buildings & mobile homes
11,Cnstr,Construction and Construction Materials,2490,2499,Misc wood products
11,Cnstr,Construction and Construction Materials,2660,2661,Building paper and board mills
11,Cnstr,Construction and Construction Materials,2950,2952,Paving & roofing materials
11,Cnstr,Construction and Construction Materials,3200,3200,"Stone, clay, glass, concrete, etc"
11,Cnstr,Construction and Construction Materials,3210,3211,Flat glass
11,Cnstr,Construction and Construction Materials,3240,3241,"Cement, hydraulic"
11,Cnstr,Construction and Construction Materials,3250,3259,Structural clay products
11,Cnstr,Construction and Construction Materials,3261,3261,Vitreous china plumbing fixtures
